t_host,t_device_ms,dt_prev_s,cmd_id,event
1765882558.8015718,379637,1.031,CMD_1765882245117,CMD_RECEIVED
1765882559.8298337,380668,1.031,CMD_1765882245216,CMD_RECEIVED
1765882560.8597207,381699,1.031,CMD_1765882245303,CMD_RECEIVED
1765882562.0724485,382729,1.03,CMD_1765882245419,CMD_RECEIVED
1765882562.9339836,383760,1.031,CMD_1765882245517,CMD_RECEIVED
1765882564.1541235,384790,1.03,CMD_1765882245617,CMD_RECEIVED
1765882565.2338157,385821,1.031,CMD_1765882245716,CMD_RECEIVED
1765882566.1713386,386851,1.03,CMD_1765882245811,CMD_RECEIVED
1765882567.0454025,387882,1.031,CMD_1765882245916,CMD_RECEIVED
1765882568.3070471,388912,1.03,CMD_1765882246003,CMD_RECEIVED
1765882569.3313892,389942,1.03,CMD_1765882246104,CMD_RECEIVED
1765882570.2588346,390972,1.03,CMD_1765882246218,CMD_RECEIVED
1765882571.1822996,392003,1.031,CMD_1765882246304,CMD_RECEIVED
1765882572.5211315,393033,1.03,CMD_1765882246420,CMD_RECEIVED
1765882573.5471885,394063,1.03,CMD_1765882246518,CMD_RECEIVED
1765882574.257145,395093,1.03,CMD_1765882246605,CMD_RECEIVED
1765882575.2862532,396123,1.03,CMD_1765882246718,CMD_RECEIVED
1765882576.3284788,397154,1.031,CMD_1765882246817,CMD_RECEIVED
1765882577.3467999,398185,1.031,CMD_1765882246904,CMD_RECEIVED
1765882578.5526247,399215,1.03,CMD_1765882247018,CMD_RECEIVED
1765882579.5809093,400246,1.031,CMD_1765882247117,CMD_RECEIVED
1765882580.4398549,401277,1.031,CMD_1765882247217,CMD_RECEIVED
1765882581.8253133,402307,1.03,CMD_1765882247304,CMD_RECEIVED
1765882582.4980803,403338,1.031,CMD_1765882247417,CMD_RECEIVED
1765882583.530958,404368,1.03,CMD_1765882247504,CMD_RECEIVED
1765882584.7929986,405400,1.032,CMD_1765882247605,CMD_RECEIVED
1765882585.6260595,406430,1.03,CMD_1765882247718,CMD_RECEIVED
1765882586.8412998,407460,1.03,CMD_1765882247818,CMD_RECEIVED
1765882587.6627464,408490,1.03,CMD_1765882247903,CMD_RECEIVED
1765882588.685615,409520,1.03,CMD_1765882248018,CMD_RECEIVED
1765882589.7186263,410551,1.031,CMD_1765882250432,CMD_RECEIVED
1765882590.7411425,411581,1.03,CMD_1765882250433,CMD_RECEIVED
1765882591.8143375,412613,1.032,CMD_1765882250434,CMD_RECEIVED
1765882592.8083255,413645,1.032,CMD_1765882250434,CMD_RECEIVED
1765882593.8382354,414676,1.031,CMD_1765882250435,CMD_RECEIVED
1765882595.2446382,415707,1.031,CMD_1765882250436,CMD_RECEIVED
1765882595.9007123,416738,1.031,CMD_1765882250436,CMD_RECEIVED
1765882597.0940938,417768,1.03,CMD_1765882250437,CMD_RECEIVED
1765882598.2078323,418798,1.03,CMD_1765882250437,CMD_RECEIVED
1765882599.1357675,419828,1.03,CMD_1765882250438,CMD_RECEIVED
1765882600.0174282,420858,1.03,CMD_1765882250438,CMD_RECEIVED
1765882601.2878804,421889,1.031,CMD_1765882250505,CMD_RECEIVED
1765882602.1077466,422919,1.03,CMD_1765882250617,CMD_RECEIVED
1765882603.1320086,423949,1.03,CMD_1765882250715,CMD_RECEIVED
1765882604.149664,424979,1.03,CMD_1765882250818,CMD_RECEIVED
1765882605.4780798,426009,1.03,CMD_1765882250917,CMD_RECEIVED
1765882606.3034472,427039,1.03,CMD_1765882251017,CMD_RECEIVED
1765882607.238461,428069,1.03,CMD_1765882251117,CMD_RECEIVED
1765882608.278107,429100,1.031,CMD_1765882251212,CMD_RECEIVED
1765882609.4737194,430131,1.031,CMD_1765882251318,CMD_RECEIVED
1765882610.598536,431161,1.03,CMD_1765882251418,CMD_RECEIVED
1765882611.352339,432191,1.03,CMD_1765882251516,CMD_RECEIVED
1765882612.398348,433222,1.031,CMD_1765882251617,CMD_RECEIVED
1765882613.4511855,434252,1.03,CMD_1765882251717,CMD_RECEIVED
1765882614.6945102,435282,1.03,CMD_1765882251817,CMD_RECEIVED
1765882615.651801,436312,1.03,CMD_1765882251917,CMD_RECEIVED
1765882616.7490587,437342,1.03,CMD_1765882252018,CMD_RECEIVED
1765882617.7674124,438372,1.03,CMD_1765882252117,CMD_RECEIVED
1765882618.5782478,439403,1.031,CMD_1765882252217,CMD_RECEIVED
1765882619.6179821,440434,1.031,CMD_1765882252316,CMD_RECEIVED
1765882620.64243,441464,1.03,CMD_1765882252413,CMD_RECEIVED
1765882621.6670878,442494,1.03,CMD_1765882252507,CMD_RECEIVED
1765882622.6902792,443525,1.031,CMD_1765882252618,CMD_RECEIVED
1765882623.7161446,444555,1.03,CMD_1765882252707,CMD_RECEIVED
1765882624.7479463,445586,1.031,CMD_1765882252819,CMD_RECEIVED
1765882626.0638194,446616,1.03,CMD_1765882252915,CMD_RECEIVED
1765882626.8679569,447647,1.031,CMD_1765882253018,CMD_RECEIVED
1765882628.008477,448677,1.03,CMD_1765882253109,CMD_RECEIVED
1765882629.0324028,449707,1.03,CMD_1765882253209,CMD_RECEIVED
1765882630.0565746,450737,1.03,CMD_1765882253318,CMD_RECEIVED
1765882631.2842393,451767,1.03,CMD_1765882253417,CMD_RECEIVED
1765882631.9740043,452798,1.031,CMD_1765882253514,CMD_RECEIVED
1765882633.0096254,453828,1.03,CMD_1765882253616,CMD_RECEIVED
1765882634.0514162,454858,1.03,CMD_1765882253712,CMD_RECEIVED
1765882635.2776277,455888,1.03,CMD_1765882253817,CMD_RECEIVED
1765882636.1120539,456918,1.03,CMD_1765882253910,CMD_RECEIVED
1765882637.1393328,457949,1.031,CMD_1765882254005,CMD_RECEIVED
1765882638.157327,458980,1.031,CMD_1765882254111,CMD_RECEIVED
1765882639.183189,460010,1.03,CMD_1765882254218,CMD_RECEIVED
1765882640.506828,461041,1.031,CMD_1765882254312,CMD_RECEIVED
1765882641.2415593,462071,1.03,CMD_1765882254417,CMD_RECEIVED
1765882642.4536862,463102,1.031,CMD_1765882254514,CMD_RECEIVED
1765882643.4808517,464132,1.03,CMD_1765882254618,CMD_RECEIVED
1765882644.3225348,465162,1.03,CMD_1765882254716,CMD_RECEIVED
1765882645.5913858,466193,1.031,CMD_1765882254818,CMD_RECEIVED
1765882646.5519803,467223,1.03,CMD_1765882254905,CMD_RECEIVED
1765882647.6750443,468253,1.03,CMD_1765882255019,CMD_RECEIVED
1765882648.602314,469283,1.03,CMD_1765882255117,CMD_RECEIVED
1765882649.7168927,470313,1.03,CMD_1765882255218,CMD_RECEIVED
1765882650.747703,471343,1.03,CMD_1765882255317,CMD_RECEIVED
1765882651.6706004,472373,1.03,CMD_1765882255418,CMD_RECEIVED
1765882652.5940878,473403,1.03,CMD_1765882255517,CMD_RECEIVED
1765882653.6184487,474433,1.03,CMD_1765882255617,CMD_RECEIVED
1765882654.6470075,475463,1.03,CMD_1765882255718,CMD_RECEIVED
1765882655.6578205,476494,1.031,CMD_1765882255804,CMD_RECEIVED
1765882656.6891367,477524,1.03,CMD_1765882255918,CMD_RECEIVED
1765882657.7161179,478554,1.03,CMD_1765882256017,CMD_RECEIVED
1765882658.9422526,479585,1.031,CMD_1765882256117,CMD_RECEIVED
1765882659.7901962,480616,1.031,CMD_1765882256214,CMD_RECEIVED
1765882660.8124938,481647,1.031,CMD_1765882256318,CMD_RECEIVED
1765882662.1060536,482678,1.031,CMD_1765882256412,CMD_RECEIVED
1765882662.8744924,483709,1.031,CMD_1765882256518,CMD_RECEIVED
1765882664.155159,484739,1.03,CMD_1765882256601,CMD_RECEIVED
1765882665.178785,485769,1.03,CMD_1765882256702,CMD_RECEIVED
1765882665.9651172,486799,1.03,CMD_1765882256802,CMD_RECEIVED
1765882667.1336193,487829,1.03,CMD_1765882256903,CMD_RECEIVED
1765882668.1555822,488859,1.03,CMD_1765882257004,CMD_RECEIVED
1765882669.0785718,489889,1.03,CMD_1765882257104,CMD_RECEIVED
1765882670.108127,490919,1.03,CMD_1765882257204,CMD_RECEIVED
1765882671.1302736,491949,1.03,CMD_1765882257318,CMD_RECEIVED
1765882672.150976,492979,1.03,CMD_1765882257418,CMD_RECEIVED
1765882673.1785822,494011,1.032,CMD_1765882257517,CMD_RECEIVED
1765882674.2958171,495042,1.031,CMD_1765882257617,CMD_RECEIVED
1765882675.4284377,496072,1.03,CMD_1765882257718,CMD_RECEIVED
1765882676.4530587,497102,1.03,CMD_1765882257802,CMD_RECEIVED
1765882677.4695723,498132,1.03,CMD_1765882257901,CMD_RECEIVED
1765882678.3331983,499162,1.03,CMD_1765882258003,CMD_RECEIVED
1765882679.3570647,500193,1.031,CMD_1765882258100,CMD_RECEIVED
1765882680.3927176,501225,1.032,CMD_1765882258204,CMD_RECEIVED
1765882681.6672893,502256,1.031,CMD_1765882258318,CMD_RECEIVED
1765882682.5898473,503286,1.03,CMD_1765882258416,CMD_RECEIVED
1765882683.726888,504316,1.03,CMD_1765882258517,CMD_RECEIVED
1765882684.6449134,505346,1.03,CMD_1765882258605,CMD_RECEIVED
1765882685.5443625,506376,1.03,CMD_1765882258704,CMD_RECEIVED
1765882686.6861563,507407,1.031,CMD_1765882258818,CMD_RECEIVED
